id,review_text,category,predicted_sentiment,sentiment_positive,sentiment_negative,sentiment_neutral,predicted_emotions,loyalty_priority_score,retention_urgency,recommended_offer
1,I absolutely love this new product! It works perfectly and has saved me so much time.,Electronics,positive,100,0,0,love,5.0,Low,Thank You Email + 10 Loyalty Points
2,This is the worst service I have ever experienced. They were rude and extremely unhelpful.,Support,negative,0,100,0,disgust,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
3,The package arrived on time and the item was exactly as described. Standard service.,Shipping,positive,100,0,0,neutral,5.0,Low,Thank You Email + 10 Loyalty Points
4,I feel so happy and excited about my purchase. Highly recommend it to everyone!,General,positive,100,0,0,joy,5.0,Low,Thank You Email + 10 Loyalty Points
5,The product broke within two days of normal use. I am extremely disappointed.,Electronics,negative,0,100,0,sadness,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
6,It is okay I guess. Nothing special but gets the basic job done.,General,neutral,0,0,100,approval,30.0,Medium,10% Discount Coupon + 100 Loyalty Points
7,I was so scared when the device started overheating. I turned it off immediately.,Electronics,negative,0,100,0,fear,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
8,This customer support team deserves a medal! They resolved my complex issue in five minutes.,Support,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
9,The shipping fee is too high for such a slow delivery. I will think twice before ordering again.,Shipping,negative,0,100,0,neutral,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
10,I was feeling a bit down today but trying out this new interface put a smile on my face.,General,positive,100,0,0,joy,5.0,Low,Thank You Email + 10 Loyalty Points
11,The software keeps crashing every time I try to import my files. I am frustrated.,Software,negative,0,100,0,disappointment,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
12,I received a completely different color than what I ordered. Very annoying.,Shipping,negative,0,100,0,annoyance,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
13,"The quality is average. You get what you pay for, not premium but not terrible.",General,neutral,0,0,100,admiration,30.0,Medium,10% Discount Coupon + 100 Loyalty Points
14,This book is a masterpiece. The plot is captivating and the characters are so deep.,Books,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
15,The food at the restaurant was tasteless and cold. I will never eat there again.,Food,negative,0,100,0,disappointment,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
16,It works as advertised. I don't have any major complaints or praise.,General,neutral,0,0,100,approval,30.0,Medium,10% Discount Coupon + 100 Loyalty Points
17,I am so angry that they charged my card twice and are refusing to refund me!,Support,negative,0,100,0,anger,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
18,I am genuinely surprised by how good this sounds. The audio quality is crystal clear.,Electronics,positive,100,0,0,surprise,5.0,Low,Thank You Email + 10 Loyalty Points
19,I lost all my unsaved progress because the application auto-closed. This is awful!,Software,negative,0,100,0,disgust,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
20,I had a wonderful time celebrating my birthday at this venue. Great memories!,General,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
21,The instructions are very confusing and hard to follow. I am still trying to figure it out.,Books,negative,0,100,0,confusion,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
22,Simple setup process and extremely intuitive layout. Kudos to the designers!,Software,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
23,The battery life is incredibly short. It barely lasts three hours on a full charge.,Electronics,negative,0,100,0,neutral,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
24,I was anxious about the interview but reading this guide gave me a lot of confidence.,Books,positive,100,0,0,joy,5.0,Low,Thank You Email + 10 Loyalty Points
25,Just another generic coffee shop. Nothing stands out about the flavor or atmosphere.,Food,neutral,0,0,100,neutral,30.0,Medium,10% Discount Coupon + 100 Loyalty Points
26,This is pure gold! It has everything I was looking for and more.,General,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
27,The movie was so boring that I fell asleep halfway through. Total waste of money.,General,negative,0,100,0,disappointment,99.0,Critical,Refund + 500 Loyalty Points (Immediate Outreach)
28,I am so grateful for the generous discount they offered me on renewal.,Support,positive,100,0,0,gratitude,5.0,Low,Thank You Email + 10 Loyalty Points
29,The delivery person left my fragile package out in the rain. Thankfully it wasn't ruined.,Shipping,,,,,,0.0,Low,Error in analysis
30,It's fine. It does what it is supposed to do without any issues.,Electronics,neutral,0,0,100,approval,30.0,Medium,10% Discount Coupon + 100 Loyalty Points
31,Wow! The speed of this tool is mind-blowing. Super fast processing.,Software,positive,100,0,0,admiration,5.0,Low,Thank You Email + 10 Loyalty Points
