id,review_text,category
1,"I absolutely love this new product! It works perfectly and has saved me so much time.",Electronics
2,"This is the worst service I have ever experienced. They were rude and extremely unhelpful.",Support
3,"The package arrived on time and the item was exactly as described. Standard service.",Shipping
4,"I feel so happy and excited about my purchase. Highly recommend it to everyone!",General
5,"The product broke within two days of normal use. I am extremely disappointed.",Electronics
6,"It is okay I guess. Nothing special but gets the basic job done.",General
7,"I was so scared when the device started overheating. I turned it off immediately.",Electronics
8,"This customer support team deserves a medal! They resolved my complex issue in five minutes.",Support
9,"The shipping fee is too high for such a slow delivery. I will think twice before ordering again.",Shipping
10,"I was feeling a bit down today but trying out this new interface put a smile on my face.",General
11,"The software keeps crashing every time I try to import my files. I am frustrated.",Software
12,"I received a completely different color than what I ordered. Very annoying.",Shipping
13,"The quality is average. You get what you pay for, not premium but not terrible.",General
14,"This book is a masterpiece. The plot is captivating and the characters are so deep.",Books
15,"The food at the restaurant was tasteless and cold. I will never eat there again.",Food
16,"It works as advertised. I don't have any major complaints or praise.",General
17,"I am so angry that they charged my card twice and are refusing to refund me!",Support
18,"I am genuinely surprised by how good this sounds. The audio quality is crystal clear.",Electronics
19,"I lost all my unsaved progress because the application auto-closed. This is awful!",Software
20,"I had a wonderful time celebrating my birthday at this venue. Great memories!",General
21,"The instructions are very confusing and hard to follow. I am still trying to figure it out.",Books
22,"Simple setup process and extremely intuitive layout. Kudos to the designers!",Software
23,"The battery life is incredibly short. It barely lasts three hours on a full charge.",Electronics
24,"I was anxious about the interview but reading this guide gave me a lot of confidence.",Books
25,"Just another generic coffee shop. Nothing stands out about the flavor or atmosphere.",Food
26,"This is pure gold! It has everything I was looking for and more.",General
27,"The movie was so boring that I fell asleep halfway through. Total waste of money.",General
28,"I am so grateful for the generous discount they offered me on renewal.",Support
29,"The delivery person left my fragile package out in the rain. Thankfully it wasn't ruined.",Shipping
30,"It's fine. It does what it is supposed to do without any issues.",Electronics
31,"Wow! The speed of this tool is mind-blowing. Super fast processing.",Software
